timestamp,data_loss,physics_loss
1768402473.0284932,0.002388,0.000018
1768402473.0290775,0.002268,0.000019
1768402473.029311,0.002064,0.000019
1768402473.039432,0.002219,0.000018
1768402473.331573,0.002217,0.000018
1768402473.332079,0.002449,0.000019
1768402473.333729,0.002040,0.000018
1768402473.3386395,0.002283,0.000019
1768402473.6309142,0.002241,0.000018
1768402473.6309683,0.002357,0.000019
1768402473.6343296,0.002102,0.000018
1768402473.6391623,0.002119,0.000018
1768402473.9337945,0.002396,0.000019
1768402473.9346955,0.002233,0.000018
1768402473.93567,0.002029,0.000018
1768402473.9432247,0.002035,0.000019
1768402474.2367454,0.002266,0.000018
1768402474.2402718,0.002104,0.000017
1768402474.2407687,0.002481,0.000019
1768402474.2482867,0.002022,0.000019
1768402474.5400882,0.002284,0.000018
1768402474.5406666,0.002070,0.000017
1768402474.5416217,0.002019,0.000019
1768402474.5478094,0.002133,0.000018
1768402474.8390973,0.002476,0.000019
1768402474.8397412,0.002154,0.000018
1768402474.839937,0.002092,0.000019
1768402474.846029,0.002298,0.000019
1768402475.137864,0.002552,0.000018
1768402475.1385183,0.002167,0.000018
1768402475.138942,0.002096,0.000020
1768402475.146507,0.002186,0.000018
1768402475.4383168,0.002548,0.000018
1768402475.4401982,0.002079,0.000019
1768402475.4430294,0.002294,0.000019
1768402475.4504821,0.002239,0.000018
1768402475.7431571,0.002237,0.000018
1768402475.7466242,0.002024,0.000018
1768402475.7475586,0.002408,0.000019
1768402475.7503295,0.002277,0.000019
1768402476.0422177,0.002313,0.000018
1768402476.0429742,0.002338,0.000018
1768402476.0446472,0.002211,0.000018
1768402476.050071,0.002116,0.000018
1768402476.3435304,0.002249,0.000017
1768402476.3438294,0.002381,0.000019
1768402476.3464372,0.002067,0.000018
1768402476.352884,0.002054,0.000019
1768402476.6466696,0.002192,0.000018
1768402476.6473744,0.002456,0.000018
1768402476.6507492,0.002085,0.000017
1768402476.6563907,0.002048,0.000018
1768402476.9485502,0.002112,0.000018
1768402476.9498222,0.002018,0.000019
1768402476.950793,0.002346,0.000018
1768402476.9566727,0.002132,0.000018
1768402477.2492313,0.002199,0.000019
1768402477.2494488,0.002457,0.000019
1768402477.2497196,0.002190,0.000018
1768402477.2539396,0.002289,0.000018
1768402477.5457215,0.002113,0.000020
1768402477.5459025,0.002594,0.000019
1768402477.546963,0.002118,0.000019
1768402477.5559223,0.002242,0.000018
1768402477.8483477,0.002516,0.000018
1768402477.8509634,0.002208,0.000019
1768402477.8536108,0.002055,0.000019
1768402477.8610866,0.002277,0.000019
1768402478.1530638,0.002272,0.000017
1768402478.1535158,0.002025,0.000018
1768402478.1575747,0.002451,0.000018
1768402478.1602662,0.002268,0.000018
1768402478.4508,0.002222,0.000018
1768402478.4548821,0.002371,0.000018
1768402478.456027,0.002340,0.000018
1768402478.4591813,0.002128,0.000019
1768402478.7526987,0.002301,0.000017
1768402478.753958,0.002302,0.000019
1768402478.7543159,0.002057,0.000017
1768402478.7603264,0.002017,0.000019
1768402479.0557144,0.002394,0.000019
1768402479.0558748,0.002069,0.000017
1768402479.056075,0.002201,0.000018
1768402479.0602906,0.002127,0.000019
1768402479.3523903,0.002355,0.000018
1768402479.3524785,0.002104,0.000018
1768402479.3584292,0.002114,0.000018
1768402479.371256,0.002107,0.000018
1768402479.6635437,0.002165,0.000019
1768402479.6640892,0.002409,0.000018
1768402479.6663933,0.002123,0.000018
1768402479.670287,0.002200,0.000018
1768402479.9620638,0.002084,0.000020
1768402479.9623802,0.002585,0.000019
1768402479.965635,0.002123,0.000018
1768402479.972338,0.002209,0.000018
1768402480.263945,0.002389,0.000018
1768402480.2644615,0.002025,0.000018
1768402480.2692113,0.002200,0.000018
1768402480.2736611,0.002293,0.000019
1768402480.5647333,0.002271,0.000017
1768402480.5650144,0.002048,0.000019
1768402480.5686977,0.002420,0.000019
1768402480.5724216,0.002327,0.000018
1768402480.8647475,0.002158,0.000017
1768402480.8671544,0.002379,0.000018
1768402480.8672192,0.002329,0.000018
1768402480.8715637,0.002126,0.000019
1768402481.1640906,0.002366,0.000018
1768402481.1656966,0.002230,0.000017
1768402481.1673768,0.002123,0.000018
1768402481.1756384,0.001992,0.000019
1768402481.467888,0.002323,0.000019
1768402481.4686968,0.002300,0.000018
1768402481.4717193,0.002059,0.000017
1768402481.4809375,0.002098,0.000019
1768402481.7728589,0.002349,0.000018
1768402481.7731645,0.002167,0.000018
1768402481.7782247,0.002126,0.000018
1768402481.7798843,0.002156,0.000018
1768402482.0723853,0.002381,0.000019
1768402482.0752268,0.002198,0.000019
1768402482.0759695,0.002094,0.000018
1768402482.0788832,0.002211,0.000018
1768402482.3714504,0.002145,0.000020
1768402482.3716962,0.002488,0.000018
1768402482.3734894,0.002028,0.000018
1768402482.3823712,0.002198,0.000018
1768402482.6755219,0.001999,0.000018
1768402482.6757114,0.002292,0.000018
1768402482.6811996,0.002181,0.000019
1768402482.687625,0.002190,0.000019
1768402482.978539,0.002277,0.000018
1768402482.9786117,0.002101,0.000019
1768402482.9842036,0.002424,0.000019
1768402482.9874437,0.002311,0.000019
1768402483.278824,0.002232,0.000017
1768402483.2793596,0.002378,0.000018
1768402483.2822132,0.002345,0.000019
1768402483.2889793,0.002079,0.000019
1768402483.581332,0.002373,0.000018
1768402483.5842416,0.002143,0.000018
1768402483.5848584,0.002231,0.000018
1768402483.5891395,0.001964,0.000019
1768402483.8804853,0.002346,0.000019
1768402483.8833735,0.002041,0.000017
1768402483.883478,0.002307,0.000019
1768402483.8875744,0.002090,0.000019
1768402484.1801116,0.002492,0.000018
1768402484.1825273,0.002224,0.000018
1768402484.1826665,0.002062,0.000019
1768402484.1862588,0.002181,0.000018
1768402484.478598,0.002467,0.000018
1768402484.4809954,0.002040,0.000018
1768402484.4820452,0.002198,0.000020
1768402484.486902,0.002213,0.000018
1768402484.7780592,0.001958,0.000018
1768402484.7786179,0.002425,0.000018
1768402484.7793016,0.002221,0.000020
1768402484.786842,0.002220,0.000018
1768402485.0779753,0.002206,0.000020
1768402485.0781717,0.002266,0.000018
1768402485.0783737,0.002015,0.000019
1768402485.0842795,0.002121,0.000018
1768402485.3747363,0.001996,0.000019
1768402485.3749115,0.002271,0.000017
1768402485.3755476,0.002431,0.000019
1768402485.3813412,0.002221,0.000018
1768402485.671766,0.002291,0.000018
1768402485.6728506,0.002301,0.000019
1768402485.679125,0.002034,0.000019
1768402485.6801734,0.002318,0.000018
1768402485.9718704,0.002345,0.000018
1768402485.9728017,0.002289,0.000018
1768402485.9744313,0.002174,0.000018
1768402485.9780574,0.001936,0.000019
1768402486.2689135,0.002093,0.000018
1768402486.2690067,0.002306,0.000019
1768402486.2697406,0.002287,0.000019
1768402486.275846,0.002145,0.000018
1768402486.566392,0.002457,0.000018
1768402486.5666115,0.001983,0.000019
1768402486.5668397,0.002249,0.000018
1768402486.576131,0.002202,0.000018
1768402486.866362,0.002694,0.000019
1768402486.866478,0.002080,0.000018
1768402486.8670847,0.002154,0.000020
1768402486.8734434,0.002183,0.000018
1768402487.1636374,0.002354,0.000018
1768402487.163949,0.001940,0.000018
1768402487.163952,0.002196,0.000019
1768402487.1702607,0.002285,0.000018
1768402487.4609032,0.002068,0.000019
1768402487.461387,0.002215,0.000017
1768402487.4616554,0.002234,0.000019
1768402487.467363,0.002105,0.000018
1768402487.7579165,0.002388,0.000018
1768402487.7581503,0.002050,0.000019
1768402487.7583616,0.002370,0.000019
1768402487.7642841,0.002190,0.000018
1768402488.0547564,0.002307,0.000019
1768402488.0549717,0.002331,0.000018
1768402488.0551636,0.002286,0.000018
1768402488.061287,0.001975,0.000018
1768402488.351441,0.002103,0.000018
1768402488.3515031,0.002314,0.000018
1768402488.3523312,0.002357,0.000019
1768402488.358895,0.001969,0.000018
1768402488.649271,0.002172,0.000018
1768402488.6495173,0.002281,0.000018
1768402488.6497283,0.002384,0.000019
1768402488.6573696,0.002073,0.000019
1768402488.7592208,0.003211,0.000016
1768402488.7594082,0.002732,0.000018
1768402488.759681,0.002914,0.000017
1768402488.7641578,0.002926,0.000017
1768402488.8614328,0.001429,0.000022
1768402488.8615968,0.001793,0.000020
1768402488.8617544,0.001424,0.000021
1768402488.866246,0.001460,0.000020
1768402488.963547,0.002847,0.000018
1768402488.963739,0.002630,0.000017
1768402488.9637403,0.003201,0.000017
1768402488.9686317,0.003054,0.000016
1768402489.066123,0.001417,0.000019
1768402489.0663457,0.001440,0.000019
1768402489.0665398,0.001312,0.000019
1768402489.070699,0.001380,0.000019
1768402489.1680272,0.003225,0.000016
1768402489.1684768,0.002744,0.000017
1768402489.168684,0.003153,0.000017
1768402489.176536,0.002958,0.000018
1768402489.2739387,0.001490,0.000019
